"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-11","0.00","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-12","0.00","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-13","0.00","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-14","0.00","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-15","0.00","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-16","0.00","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-17","0.00","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-18","0.00","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-19","0.00","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-20","0.00","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-21","0.00","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-22","0.00","61","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-23","0.00","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-24","0.00","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-25","0.01","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-26","0.00","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-27","0.00","74","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-28","0.00","84","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-29","0.00","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-30","0.00","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-31","0.00","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-01","0.00","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-02","0.00","85","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-03","0.00","75","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-04","0.00","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-05","0.00","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-06","0.00","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-07","0.00","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-08","0.00","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-09","0.00","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-10","0.00","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-11","0.00","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-12","0.00","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-13","0.00","76","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-14","0.00","77","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-15","0.00","66","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-16","0.00","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-17","0.00","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-18","0.00","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-19","0.00","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-20","0.00","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-21","0.00","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-22","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-23","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-24","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-25","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-26","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-27","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-28","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-29","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-30","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-01","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-02","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-03","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-04","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-05","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-06","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-07","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-08","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-09","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-10","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-11","0.00",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-12","0.00","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-13","0.00","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-14","0.00","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-15","0.00","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-16","0.00","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-17","0.00","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-18","0.00","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-19","0.00","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-20","0.00","83","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-21","0.00","75","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-22","0.00","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-23","0.00","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-24","0.00","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-25","0.00","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-26","0.00","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-27","0.00","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-28","0.00","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-29","0.00","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-30","0.00","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-31","0.00","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-01","0.00","66","52"
